Name,md5,Machine,SizeOfOptionalHeader,Characteristics,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,BaseOfData,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes,SectionsNb,SectionsMeanEntropy,SectionsMinEntropy,SectionsMaxEntropy,SectionsMeanRawsize,SectionsMinRawsize,SectionMaxRawsize,SectionsMeanVirtualsize,SectionsMinVirtualsize,SectionMaxVirtualsize,ImportsNbDLL,ImportsNb,ImportsNbOrdinal,ExportNb,ResourcesNb,ResourcesMeanEntropy,ResourcesMinEntropy,ResourcesMaxEntropy,ResourcesMeanSize,ResourcesMinSize,ResourcesMaxSize,LoadConfigurationSize,VersionInformationSize,legitimate
VirusShare_86b2035cfe3535e5a969773a703ba668,86b2035cfe3535e5a969773a703ba668,332,224,258,10,0,119808,385024,0,61532,4096,126976,4194304.0,4096,512,5,1,0,0,5,1,528384,1024,534838,2,33088,1048576,4096,1048576,4096,0,16,5,5.65935611278,4.15850637054,7.96309810922,100966.4,9728,330752,102635.8,9416,339716,3,90,0,0,6,3.75279847985,2.45849222582,5.31755235629,2738.83333333,48,9640,72,15,0
VirusShare_49ad781627b8c44163d21c0e5a2d94a8,49ad781627b8c44163d21c0e5a2d94a8,332,224,258,9,0,102400,599040,0,12013,4096,106496,4194304.0,4096,512,5,0,0,0,5,0,712704,1024,2018578096,2,33088,1048576,4096,1048576,4096,0,16,5,5.3370413625,2.82868037168,6.58874280498,140288.0,3584,568320,140774.0,6682,567892,4,88,1,0,7,4.14351601489,2.62307816502,5.91635626214,81061.0,62,535040,72,0,0
VirusShare_0e7ba311c0b3274db8523d6dc27e7b71,0e7ba311c0b3274db8523d6dc27e7b71,332,224,258,8,0,7680,306688,0,5339,4096,12288,4194304.0,4096,512,4,0,6,0,4,0,335872,1024,366118,2,34112,1048576,4096,1048576,4096,0,16,7,4.88717477083,0.0,7.99884046208,44909.7142857,0,174080,44884.1428571,348,174080,3,41,0,0,6,3.40729056602,2.15128593019,5.15540854179,1314.16666667,48,3752,0,23,0
VirusShare_d7f22a76e7b59f41a8e330b591e58d7f,d7f22a76e7b59f41a8e330b591e58d7f,332,224,258,11,0,111616,380928,0,20004,4096,118784,4194304.0,4096,512,5,1,0,0,5,1,507904,1024,2018360496,2,33088,1048576,4096,1048576,4096,0,16,5,5.45109752879,4.01098166798,6.5587486267,96768.0,6656,280064,98312.4,15284,279856,4,88,1,0,5,3.95324082275,2.37085907723,6.36510294641,55896.4,34,278016,72,0,0
VirusShare_5e7cc205d7eec95cc2a68227c48634a0,5e7cc205d7eec95cc2a68227c48634a0,332,224,258,10,0,119808,385024,0,61532,4096,126976,4194304.0,4096,512,5,1,0,0,5,1,528384,1024,532515,2,33088,1048576,4096,1048576,4096,0,16,5,5.65935611278,4.15850637054,7.96309810922,100966.4,9728,330752,102635.8,9416,339716,3,90,0,0,6,3.75279847985,2.45849222582,5.31755235629,2738.83333333,48,9640,72,15,0
VirusShare_313aff85c5c6c4b2fde298bccf7e7363,313aff85c5c6c4b2fde298bccf7e7363,332,224,258,10,0,119808,385024,0,61532,4096,126976,4194304.0,4096,512,5,1,0,0,5,1,528384,1024,566235,2,33088,1048576,4096,1048576,4096,0,16,5,5.65935611278,4.15850637054,7.96309810922,100966.4,9728,330752,102635.8,9416,339716,3,90,0,0,6,3.75279847985,2.45849222582,5.31755235629,2738.83333333,48,9640,72,15,0
VirusShare_d360488dc0883664a03bbbf2f9dbc0ca,d360488dc0883664a03bbbf2f9dbc0ca,332,224,33167,2,25,338944,100352,0,345040,4096,348160,4194304.0,4096,512,5,0,0,0,5,0,565248,1024,585714,2,0,1048576,16384,1048576,4096,0,16,9,3.43314644726,0.0,6.39278439572,57611.7777778,0,337408,59775.6666667,8,336916,31,338,0,0,34,4.63151517702,1.41829583405,7.0520305081,2269.17647059,12,33512,0,18,0
wuapi.dll,330e69f06a428a0ab0568969532636fb,34404,240,8226,9,0,327168,367616,0,16560,4096,0,6597087592448.0,4096,512,6,1,6,1,5,2,712704,1536,759890,2,64,262144,4096,1048576,4096,0,16,6,4.80400288883,1.0653879993,6.23742524121,115797.333333,5120,327168,115603.0,5076,326682,11,281,3,5,40,4.80228497865,2.86589174289,6.27097219431,5084.6,132,81712,0,16,1
apisetschema.dll,15da1cc81ce3a2c3a940ac5489fc9c05,332,224,8450,9,0,0,5632,0,0,65536,65536,939524096.0,65536,512,6,1,6,1,6,1,327680,1024,9670,3,1344,262144,4096,1048576,4096,0,16,4,1.96216481337,0.0203931352361,3.39534083108,1408.0,512,3584,1118.25,36,3288,0,0,0,0,1,3.55187275255,3.55187275255,3.55187275255,920.0,920,920,0,16,1
VirusShare_4a83723c9d5c51db1dfa427d92e05465,4a83723c9d5c51db1dfa427d92e05465,332,224,271,6,0,24064,308224,8192,12538,4096,28672,4194304.0,4096,512,4,0,6,0,4,0,602112,1024,0,2,32768,1048576,4096,1048576,4096,0,16,5,4.16767213057,0.0,6.43879960537,6553.6,0,24064,118232.0,2552,298072,8,155,1,0,6,3.14981126293,2.16096404744,5.20032677549,356.333333333,20,744,0,0,0
VirusShare_e33d4894747df5faa05a2d569b3460b8,e33d4894747df5faa05a2d569b3460b8,332,224,258,10,0,118784,381952,0,59914,4096,122880,4194304.0,4096,512,5,1,0,0,5,1,520192,1024,552012,2,33088,1048576,4096,1048576,4096,0,16,5,5.66240790159,4.18369159181,7.96187139995,100147.2,9216,334848,101559.8,9368,334440,7,114,0,0,18,6.53094643297,2.45849222582,7.99268848362,18523.4444444,48,33945,72,14,0
VirusShare_2cbda5b73a8b3a34401a9388d8539f2a,2cbda5b73a8b3a34401a9388d8539f2a,332,224,258,10,0,120320,385024,0,61562,4096,126976,4194304.0,4096,512,5,1,0,0,5,1,528384,1024,559103,2,33088,1048576,4096,1048576,4096,0,16,5,5.65247006243,4.14990094209,7.96279259334,101068.8,9728,330752,102619.0,9396,339620,3,89,0,0,6,3.75606821168,2.45849222582,5.31755235629,2739.5,48,9640,72,15,0
VirusShare_82b1a2ac768fb5fed1696a3931b0e84e,82b1a2ac768fb5fed1696a3931b0e84e,332,224,258,11,0,113664,682496,0,24735,4096,118784,4194304.0,4096,512,5,1,0,0,5,1,851968,1024,2018161488,2,33088,1048576,4096,1048576,4096,0,16,3,4.26337706158,0.206920017787,7.99894163996,94549.3333333,512,246272,281429.333333,512,806912,4,7,1,0,7,4.45336795506,2.62307816502,7.96700202426,80992.8571429,62,534528,0,0,0
VirusShare_abfc127c95c3d3cd0149ec6c17edf28e,abfc127c95c3d3cd0149ec6c17edf28e,332,224,258,10,0,120320,385024,0,61562,4096,126976,4194304.0,4096,512,5,1,0,0,5,1,528384,1024,522587,2,33088,1048576,4096,1048576,4096,0,16,5,5.65247006243,4.14990094209,7.96279259334,101068.8,9728,330752,102619.0,9396,339620,3,89,0,0,6,3.75606821168,2.45849222582,5.31755235629,2739.5,48,9640,72,15,0
url.dll,8f074f6208d7fea5cb673a60f5963fe0,332,224,8450,9,0,8192,122880,0,4480,4096,12288,1091633152.0,4096,512,6,1,6,1,5,1,143360,1024,150192,2,320,262144,4096,4096,4096,0,16,4,4.81497417555,0.288645911283,7.09069767503,32768.0,512,121344,32542.0,420,120976,7,43,4,18,34,4.30037414161,1.31175456086,7.99090525604,3506.23529412,20,59810,72,16,1
VirusShare_13af1f4892c70f3a9691752ef1529752,13af1f4892c70f3a9691752ef1529752,332,224,33166,2,25,53248,12800,0,56836,4096,57344,4194304.0,4096,512,4,0,0,0,4,0,90112,1024,0,2,0,1048576,16384,1048576,4096,0,16,8,3.55766771506,0.0,6.58578310914,8256.0,0,53248,8900.875,8,52788,15,141,0,0,5,3.78778215575,2.06096404744,5.10974454,225.6,16,744,0,0,0
api-ms-win-core-file-l2-1-0.dll,57b17fd79b22fff75f1e34b1b680383c,332,224,8450,12,10,1024,1024,0,0,4096,8192,268435456.0,4096,512,10,0,10,0,10,0,12288,1024,28838,3,1344,262144,4096,1048576,4096,0,16,2,3.95492440164,3.3025430084,4.60730579488,1024.0,1024,1024,970.5,925,1016,0,0,0,11,1,3.46586051516,3.46586051516,3.46586051516,916.0,916,916,0,16,1
VirusShare_15c479e79cf05ddf904853e1ec769fb2,15c479e79cf05ddf904853e1ec769fb2,332,224,258,8,0,7680,318976,0,5339,4096,12288,4194304.0,4096,512,4,0,6,0,4,0,344064,1024,385997,2,34112,1048576,4096,1048576,4096,0,16,7,4.74673993145,0.0,7.99895148299,46665.1428571,0,176128,46639.5714286,348,176128,3,41,0,0,6,2.97751297624,1.89111896789,5.15540854179,3020.83333333,48,9640,0,23,0
MFPlay.dll,66a58485bc9bbbf3d17524bc86ca94d9,332,224,8450,9,0,138752,37888,0,37873,4096,143360,139853824.0,4096,512,6,1,6,1,6,1,188416,1024,205344,3,320,262144,4096,1048576,4096,0,16,4,4.50613504196,2.20649223765,6.44708860637,43776.0,512,138752,44002.0,1888,138578,9,163,7,5,4,3.21400649614,2.5487949407,3.83257892434,6408.5,16,24386,72,16,1
EP0NRE8T.DLL,2d605b10e1a4c233e3a54e199ffbad70,332,224,8450,9,0,4608,1331200,0,5607,4096,12288,538312704.0,4096,512,6,1,6,1,5,1,1351680,1024,1371835,3,320,262144,4096,1048576,4096,0,16,4,4.69119478655,0.601554617119,6.44874314282,333696.0,1024,1324544,333573.75,1632,1324368,2,18,0,0,107,4.74726482742,1.26793164552,7.8113020243,12324.8130841,6,65540,72,16,1
ExplorerFrame.dll,4247c213c2d6f806c6d8609e40caff80,34404,240,8226,9,0,1133056,731136,0,32040,4096,0,8793207341056.0,4096,512,6,1,6,1,6,1,1875968,1024,1878516,2,320,262144,4096,1048576,4096,0,16,6,5.14789293543,1.73051129194,6.26585414292,310613.333333,10752,1133056,310424.333333,11016,1132566,11,1164,193,6,86,4.22851841136,0.650022421648,6.37509893296,4602.01162791,6,60351,0,16,1
api-ms-win-core-fibers-l1-1-0.dll,68960a7831b14034bdb79c24bcaa6f76,332,224,8450,9,0,512,1536,0,4207,4096,8192,285212672.0,4096,512,6,1,6,1,6,1,16384,1024,48188,3,1344,262144,4096,1048576,4096,0,16,3,2.26222135129,0.0203931352361,3.40725224928,682.666666667,512,1024,444.333333333,26,1008,0,0,0,4,1,3.55159559474,3.55159559474,3.55159559474,908.0,908,908,0,16,1
mofinstall.dll,ec379fa6323397695f90aefcb42fd9c7,332,224,8450,9,0,50688,18432,0,43605,4096,57344,59768832.0,4096,512,6,1,6,1,5,1,81920,1024,112491,2,320,262144,4096,1048576,4096,0,16,4,4.86691589477,2.50263297869,6.52890510286,14464.0,1536,50688,16976.25,1040,50493,6,99,10,2,1,3.52102368411,3.52102368411,3.52102368411,944.0,944,944,72,16,1
VirusShare_736508aeae6ffec78c5b508f71545cba,736508aeae6ffec78c5b508f71545cba,332,224,783,2,56,49152,106496,196608,245568,200704,249856,4194304.0,4096,512,4,0,1,0,4,0,356352,4096,0,2,0,2097152,4096,1048576,4096,0,16,3,4.15236432716,0.0,7.89207032055,49834.6666667,0,103936,117418.666667,49152,196608,2,7,0,0,8,4.48401675037,2.93165752022,5.07507438191,12843.625,90,67624,0,0,0
VirusShare_2459bcaba2b3502e34d56a6a2fc072bf,2459bcaba2b3502e34d56a6a2fc072bf,332,224,33167,2,25,37888,13824,0,40000,4096,45056,4194304.0,4096,512,1,0,0,0,4,0,81920,1024,635041,2,0,1048576,16384,1048576,4096,0,16,8,2.34828876642,0.0,6.67488280675,6464.0,0,37888,7046.5,8,37732,8,96,0,0,13,3.50995904476,2.64576300669,5.08452412901,684.615384615,44,2216,0,0,0
replisapi.dll,9622244d8784546d4736e5faa6046223,332,224,8450,8,0,243712,18944,0,225605,4096,249856,1283391488.0,4096,512,6,0,6,0,4,0,282624,1024,326664,2,0,262144,4096,1048576,4096,0,16,4,5.10757550333,3.37549872492,6.53249420385,65664.0,2560,243712,66954.25,2240,243449,10,230,6,11,3,4.62247910187,3.49036200314,5.32521109975,660.666666667,338,1230,72,19,1
Policy.11.0.Microsoft.Office.Interop.Graph.dll,272324c3519292e26c20bca9add43864,332,224,8462,8,0,2560,2560,0,10334,8192,16384,4194304.0,8192,512,4,0,0,0,4,0,32768,512,20460,3,1344,1048576,4096,1048576,4096,0,16,3,2.66863791481,0.0815394123432,5.07371737379,1706.66666667,512,2560,1266.66666667,12,2148,1,1,0,0,1,3.44971467238,3.44971467238,3.44971467238,1548.0,1548,1548,0,19,1
VirusShare_d1804e32744f64c2f31f94e783499bbd,d1804e32744f64c2f31f94e783499bbd,332,224,258,10,0,118784,382464,0,59930,4096,122880,4194304.0,4096,512,5,1,0,0,5,1,520192,1024,566603,2,33088,1048576,4096,1048576,4096,0,16,5,5.65902241338,4.1786401566,7.96340474214,100249.6,9216,334848,101590.6,9374,334360,7,115,0,0,16,6.34249636714,2.45849222582,7.99307000943,20840.0,48,40724,72,14,0
MPSSVC.dll,9835584e999d25004e1ee8e5f3e3b881,332,224,8450,9,0,449536,116224,0,8242,4096,454656,1868300288.0,4096,512,6,1,6,1,6,1,577536,1024,599532,3,320,262144,4096,1048576,4096,0,16,4,4.84653901625,2.26093550158,6.79982139023,141312.0,18944,449536,141128.75,19232,449307,8,276,0,2,3,3.37645295839,2.82533564888,3.77822224825,21934.0,232,64642,72,16,1
SetupResources.dll,86cb58f2b6bc1174d200d0abe5497233,332,224,8482,10,0,0,11264,0,0,4096,4096,268435456.0,4096,512,5,1,10,0,5,1,20480,1024,56389,2,1344,1048576,4096,1048576,4096,0,16,2,2.31026535627,0.938840163176,3.68169054937,5632.0,512,10752,6179.5,71,12288,0,0,0,0,13,3.04386529917,2.38755038598,3.45377834975,744.461538462,68,4466,0,16,1
VirusShare_d4313838374cfde5683d8a46ad37b64b,d4313838374cfde5683d8a46ad37b64b,332,224,258,10,0,120320,385024,0,61578,4096,126976,4194304.0,4096,512,5,1,0,0,5,1,528384,1024,528606,2,33088,1048576,4096,1048576,4096,0,16,5,5.64619931408,4.11715549516,7.96322482373,101068.8,9728,330752,102637.4,9408,339716,3,89,0,0,6,3.72833051736,2.45849222582,5.31755235629,2739.5,48,9640,72,15,0
VirusShare_5d2bbf0208c78c8dd469b44d5b1724d3,5d2bbf0208c78c8dd469b44d5b1724d3,332,224,258,11,0,113664,682496,0,24735,4096,118784,4194304.0,4096,512,5,1,0,0,5,1,851968,1024,2018160832,2,33088,1048576,4096,1048576,4096,0,16,3,4.26337706158,0.206920017787,7.99894163996,94549.3333333,512,246272,281429.333333,512,806912,4,7,1,0,7,4.45336795506,2.62307816502,7.96700202426,80992.8571429,62,534528,0,0,0
VirusShare_b00498984e518d34653e77c34788a193,b00498984e518d34653e77c34788a193,332,224,258,11,0,114688,387584,0,17531,4096,118784,4194304.0,4096,512,5,1,0,0,5,1,516096,1024,2018370240,2,33088,1048576,4096,1048576,4096,0,16,5,6.10458792459,5.44303766881,6.5879027991,98611.2,9216,299520,100140.0,8888,299192,4,90,1,0,11,5.19674642666,2.81158312942,6.55825881392,27139.3636364,118,274432,72,0,0
VirusShare_54c5a9d83ce028dd2d940cc5358c29e8,54c5a9d83ce028dd2d940cc5358c29e8,332,224,258,9,0,102400,599040,0,12013,4096,106496,4194304.0,4096,512,5,0,0,0,5,0,712704,1024,2018577560,2,33088,1048576,4096,1048576,4096,0,16,5,5.3370413625,2.82868037168,6.58874280498,140288.0,3584,568320,140774.0,6682,567892,4,88,1,0,7,4.14351601489,2.62307816502,5.91635626214,81061.0,62,535040,72,0,0
spmsg.dll,015d670ad6a9d9aba135057e7013fe28,332,224,8462,7,10,0,6656,0,0,4096,4096,268435456.0,4096,512,5,2,5,2,4,0,16384,512,38020,2,1024,262144,4096,1048576,4096,0,16,2,1.7098933859,0.0203931352361,3.39939363656,3328.0,512,6144,2880.0,8,5752,0,0,0,0,2,3.51753043997,3.50168003092,3.53338084901,2792.0,892,4692,0,16,1
api-ms-win-core-memory-l1-1-0.dll,3e2be29724ca05a3d15baa1c9226d028,332,224,8450,9,0,1024,1536,0,4247,4096,8192,138412032.0,4096,512,6,1,6,1,6,1,16384,1024,68024,3,1344,262144,4096,1048576,4096,0,16,3,2.41954997348,0.0203931352361,3.8742980841,853.333333333,512,1024,564.333333333,26,1008,0,0,0,16,1,3.55698982557,3.55698982557,3.55698982557,908.0,908,908,0,16,1
VirusShare_546d25d3d8cb63c4d987b2073bc22c98,546d25d3d8cb63c4d987b2073bc22c98,332,224,258,12,0,64000,183296,0,10482,4096,69632,4194304.0,4096,512,5,1,0,0,5,1,262144,1024,301854,2,33088,1048576,4096,1048576,4096,0,16,5,5.69677745891,3.42614070159,7.27552817089,47923.2,5120,138240,49202.2,4832,137960,3,77,0,0,7,4.24682538959,2.64576300669,7.25678470915,19641.2857143,62,132096,72,0,0
VirusShare_f8459b730ca334cebb39a4db12188df7,f8459b730ca334cebb39a4db12188df7,332,224,258,10,0,120320,385024,0,61562,4096,126976,4194304.0,4096,512,5,1,0,0,5,1,528384,1024,555261,2,33088,1048576,4096,1048576,4096,0,16,5,5.63344949696,4.05376582193,7.96257816425,101068.8,9728,330752,102626.2,9400,339652,3,89,0,0,6,3.67198581831,2.45849222582,5.31755235629,2739.5,48,9640,72,15,0
VirusShare_d50d202ecff32c6cdb55f21d1e82c824,d50d202ecff32c6cdb55f21d1e82c824,332,224,271,6,0,24064,164864,1024,12538,4096,28672,4194304.0,4096,512,4,0,6,0,4,0,241664,1024,0,2,32768,1048576,4096,1048576,4096,0,16,5,4.10110806663,0.0,6.4401055495,6758.4,0,24064,46256.0,3120,154712,8,155,1,0,6,3.19391257462,1.97133528531,5.21481584993,447.333333333,34,958,0,15,0
VirusShare_0c901b09fafaf677cf7696478665f2e5,0c901b09fafaf677cf7696478665f2e5,332,224,258,10,0,120320,385024,0,61562,4096,126976,4194304.0,4096,512,5,1,0,0,5,1,528384,1024,569276,2,33088,1048576,4096,1048576,4096,0,16,5,5.63344949696,4.05376582193,7.96257816425,101068.8,9728,330752,102626.2,9400,339652,3,89,0,0,6,3.67198581831,2.45849222582,5.31755235629,2739.5,48,9640,72,15,0
VirusShare_cc99fd2bdb9ce441cf81c704d65652cc,cc99fd2bdb9ce441cf81c704d65652cc,332,224,258,10,0,119296,385536,0,60696,4096,126976,4194304.0,4096,512,5,1,0,0,5,1,524288,1024,548865,2,33088,1048576,4096,1048576,4096,0,16,5,5.65698929247,4.14716204102,7.94048340027,100966.4,9728,335872,102376.8,9428,335748,7,113,0,0,17,6.09296650697,2.57864449563,7.99367816315,19692.5294118,62,33870,72,15,0
VirusShare_e04df5b8ba05a609c056b46e005a05d9,e04df5b8ba05a609c056b46e005a05d9,332,224,258,8,0,7680,309760,0,5339,4096,12288,4194304.0,4096,512,4,0,6,0,4,0,339968,1024,372737,2,34112,1048576,4096,1048576,4096,0,16,7,4.91253256257,0.0,7.99825186876,45348.5714286,0,177152,45323.0,348,177152,3,41,0,0,6,3.67659822651,2.23267617683,5.15540854179,1314.16666667,48,3752,0,23,0
VirusShare_a190adb4459e2fabea22ec84f0a98de4,a190adb4459e2fabea22ec84f0a98de4,332,224,258,10,0,116224,385024,0,57436,4096,122880,4194304.0,4096,512,5,1,0,0,5,1,524288,1024,539190,2,33088,1048576,4096,1048576,4096,0,16,5,5.63891329302,4.18602299801,7.9611202343,100249.6,9216,338432,101601.8,9228,337996,4,100,0,0,29,7.07383209462,2.45849222582,7.98793727193,11601.7241379,48,17005,72,14,0
comctl32.dll,9028d1621c43df8dfbd1c76860412a11,34404,240,8226,9,0,579584,62464,0,518976,4096,0,8793769705472.0,4096,512,6,1,6,1,6,0,655360,1024,688168,2,320,262144,4096,1048576,4096,0,16,5,4.23644001119,2.20510487984,6.51977201033,126566.4,2560,579584,128164.2,2488,579417,5,396,0,180,62,2.68203292973,1.83875868092,4.57795036916,363.774193548,20,2760,0,16,1
VirusShare_f4f20bd720c24db4aedbaca1d7ff460f,f4f20bd720c24db4aedbaca1d7ff460f,332,224,258,8,0,7680,321024,0,5339,4096,12288,4194304.0,4096,512,4,0,6,0,4,0,348160,1024,396253,2,34112,1048576,4096,1048576,4096,0,16,7,5.0821558792,0.0,7.99885109636,46957.7142857,0,178176,46932.1428571,348,178176,3,41,0,0,6,4.05088021443,2.09891628205,5.15540854179,3020.83333333,48,9640,0,23,0
WirelessDisplay.ConnectionConfirmation.resources.dll,889bc51f10bf22a48751a925699cc6fd,332,224,8450,11,0,9216,512,0,17022,8192,24576,4194304.0,8192,512,4,0,0,0,4,0,32768,512,79608,3,34112,1048576,4096,1048576,4096,0,16,2,3.08714749642,0.0815394123432,6.09275558049,4864.0,512,9216,4424.0,12,8836,1,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1
VirusShare_7b2e7a0f437c9711ac59c6a983c79b2c,7b2e7a0f437c9711ac59c6a983c79b2c,332,224,258,8,0,7680,318464,0,5339,4096,12288,4194304.0,4096,512,4,0,6,0,4,0,348160,1024,390478,2,34112,1048576,4096,1048576,4096,0,16,7,4.99888297799,0.0,7.99830732528,46592.0,0,177152,46589.8571429,348,177152,3,41,0,0,6,3.31237507073,1.91924070464,5.15540854179,2792.16666667,20,9640,0,23,0
VirusShare_8119231850d5c393ad473e1aa07905fe,8119231850d5c393ad473e1aa07905fe,332,224,258,8,0,7680,316416,0,5339,4096,12288,4194304.0,4096,512,4,0,6,0,4,0,344064,1024,334102,2,34112,1048576,4096,1048576,4096,0,16,7,5.00933519989,0.0,7.99873601904,46299.4285714,0,175104,46297.2857143,348,175104,3,41,0,0,6,3.38342123194,1.91924070464,5.15540854179,2792.16666667,20,9640,0,23,0
